Date,Open,High,Low,Close,Adj Close,Volume
30-06-2006,,,,,,
05-07-2007,,,,,,
27-08-2007,,,,,,
07-07-2008,,,,,,
09-07-2009,,,,,,
08-07-2010,,,,,,
07-07-2011,,,,,,
18-06-2012,9.75,9.75,8.920000076,9.029999733,9.029999733,1174884
19-06-2012,9,9.100000381,8.550000191,8.569999695,8.569999695,967500
20-06-2012,8.699999809,8.850000381,8.56000042,8.710000038,8.710000038,930848
21-06-2012,8.800000191,8.920000076,8.670000076,8.789999962,8.789999962,818401
22-06-2012,8.649999619,9.640000343,8.630000114,9.340000153,9.340000153,1660981
25-06-2012,9.600000381,10.30000019,9.5,9.840000153,9.840000153,1982768
26-06-2012,9.75,10.30000019,8.850000381,10.18999958,10.18999958,1523732
27-06-2012,10.25,10.32999992,9.649999619,9.710000038,9.710000038,1155690
28-06-2012,9.829999924,9.949999809,9.680000305,9.770000458,9.770000458,749796
29-06-2012,9.850000381,10.10000038,9.75,9.829999924,9.829999924,629340
02-07-2012,10.18000031,10.38000011,10.10000038,10.26000023,10.26000023,1833808
03-07-2012,10.39999962,11.39000034,10.30000019,11.14000034,11.14000034,3781189
04-07-2012,11.5,12.30000019,11.25,12.18000031,12.18000031,6616644
05-07-2012,12.19999981,12.94999981,12.19999981,12.68999958,12.68999958,2885948
06-07-2012,12.89999962,12.94999981,12.26000023,12.52999973,12.52999973,2868501
09-07-2012,12.47000027,12.47000027,11.89000034,11.98999977,11.98999977,1269903
10-07-2012,11.93999958,13,11.93999958,12.86999989,12.86999989,2633160
11-07-2012,13,13,12.40999985,12.48999977,12.48999977,1578413
12-07-2012,12,12.35000038,12,12.28999996,12.28999996,1021523
13-07-2012,12.5,13.19999981,12.44999981,12.56999969,12.56999969,2222835
16-07-2012,12.72999954,12.81000042,12.15999985,12.28999996,12.28999996,812360
17-07-2012,12.25,12.53999996,11.55000019,11.63000011,11.63000011,1124392
18-07-2012,11.80000019,11.80000019,11.13000011,11.42000008,11.42000008,1121709
19-07-2012,11.60000038,11.77999973,11.10000038,11.17000008,11.17000008,881088
20-07-2012,11.25,11.48999977,10.69999981,11.14000034,11.14000034,375150
23-07-2012,11.10000038,11.19999981,10.75,10.86999989,10.86999989,414360
24-07-2012,10.75,10.94999981,10.32999992,10.35999966,10.35999966,509520
25-07-2012,10.10000038,10.47000027,10.06000042,10.14000034,10.14000034,264180
26-07-2012,10.44999981,10.44999981,9.800000191,9.880000114,9.880000114,288194
27-07-2012,10,10.23999977,9.550000191,9.760000229,9.760000229,343488
30-07-2012,9.800000191,10.23999977,9.600000381,10.19999981,10.19999981,281971
31-07-2012,10.30000019,10.5,10.19999981,10.30000019,10.30000019,245353
01-08-2012,10.30000019,10.81000042,10.30000019,10.81000042,10.81000042,274158
02-08-2012,11.35000038,11.35000038,10.39999962,10.51000023,10.51000023,862881
03-08-2012,10.39999962,10.39999962,9.989999771,9.989999771,9.989999771,630662
06-08-2012,10.25,10.30000019,9.800000191,9.899999619,9.899999619,434828
07-08-2012,10.14999962,10.30000019,9.75,9.819999695,9.819999695,547457
08-08-2012,10,10,9.350000381,9.390000343,9.390000343,537895
09-08-2012,9.600000381,9.600000381,9,9.479999542,9.479999542,395501
10-08-2012,9.399999619,9.5,9.25,9.329999924,9.329999924,228473
13-08-2012,9.550000191,9.550000191,8.869999886,9.170000076,9.170000076,475951
14-08-2012,9.300000191,9.300000191,9,9.229999542,9.229999542,168980
16-08-2012,9.25,9.25,8.850000381,8.930000305,8.930000305,326591
17-08-2012,9,9,8.489999771,8.489999771,8.489999771,1560093
21-08-2012,8.600000381,8.699999809,8.090000153,8.100000381,8.100000381,925189
22-08-2012,8.199999809,8.199999809,7.75,7.78000021,7.78000021,970695
23-08-2012,7.75,8.159999847,7.710000038,7.789999962,7.789999962,718997
24-08-2012,8,8.170000076,7.809999943,8.170000076,8.170000076,543816
27-08-2012,8.199999809,8.569999695,8.100000381,8.159999847,8.159999847,448142
28-08-2012,8.140000343,8.149999619,7.760000229,7.849999905,7.849999905,384664
29-08-2012,7.989999771,7.989999771,7.699999809,7.78000021,7.78000021,196967
30-08-2012,8.159999847,8.159999847,7.46999979,7.690000057,7.690000057,238636
31-08-2012,7.699999809,7.989999771,7.5,7.820000172,7.820000172,200304
03-09-2012,8.199999809,8.199999809,7.75,7.820000172,7.820000172,177033
04-09-2012,7.829999924,8,7.659999847,7.739999771,7.739999771,271141
05-09-2012,7.71999979,7.789999962,7.610000134,7.659999847,7.659999847,223232
06-09-2012,7.75,7.800000191,7.610000134,7.679999828,7.679999828,129619
07-09-2012,7.75,7.75,7.5,7.650000095,7.650000095,257020
10-09-2012,7.699999809,7.71999979,7.5,7.630000114,7.630000114,286069
11-09-2012,7.650000095,7.650000095,7.519999981,7.539999962,7.539999962,163648
12-09-2012,7.510000229,7.860000134,7.5,7.550000191,7.550000191,202959
13-09-2012,7.5,7.630000114,7.5,7.510000229,7.510000229,211760
14-09-2012,7.75,7.75,7.400000095,7.5,7.5,535427
17-09-2012,7.550000191,7.849999905,7.420000076,7.510000229,7.510000229,542024
18-09-2012,7.650000095,7.880000114,7.5,7.880000114,7.880000114,839183
20-09-2012,8.270000458,8.270000458,7.639999866,8.270000458,8.270000458,905570
21-09-2012,8.510000229,8.680000305,8.199999809,8.680000305,8.680000305,1173469
24-09-2012,8.890000343,9.090000153,8.600000381,8.729999542,8.729999542,930242
25-09-2012,8.899999619,8.899999619,8.300000191,8.409999847,8.409999847,382495
26-09-2012,8.449999809,8.699999809,8.25,8.359999657,8.359999657,315572
27-09-2012,8.300000191,8.390000343,8.020000458,8.100000381,8.100000381,384495
28-09-2012,8.149999619,8.25,8,8.029999733,8.029999733,400808
01-10-2012,8.100000381,8.430000305,7.909999847,8.420000076,8.420000076,925287
03-10-2012,8.56000042,8.56000042,8.25,8.31000042,8.31000042,672263
04-10-2012,8.409999847,8.430000305,8.050000191,8.149999619,8.149999619,509333
05-10-2012,8.239999771,8.289999962,7.909999847,7.940000057,7.940000057,542703
08-10-2012,8.050000191,8.329999924,7.809999943,8.140000343,8.140000343,718096
09-10-2012,8.199999809,8.489999771,8,8.050000191,8.050000191,409868
10-10-2012,8.050000191,8.100000381,7.809999943,7.940000057,7.940000057,329605
11-10-2012,7.940000057,8.149999619,7.760000229,7.929999828,7.929999828,334839
12-10-2012,8.079999924,8.100000381,7.849999905,7.889999866,7.889999866,204867
15-10-2012,7.909999847,8.029999733,7.860000134,7.929999828,7.929999828,143312
16-10-2012,7.949999809,8.170000076,7.800000191,7.869999886,7.869999886,205671
17-10-2012,8.039999962,8.039999962,7.840000153,7.920000076,7.920000076,173648
18-10-2012,8.079999924,8.079999924,7.699999809,7.730000019,7.730000019,371219
